cou,country,life_exp_2014,life_exp_2000,gdp_spending_2014,gdp_spending_2000
AUS,Australia,82.4,79.3,9.012,7.6122
AUT,Austria,81.6,78.2,10.2628,9.2214
BEL,Belgium,81.4,77.8,10.4172,7.942
BRA,Brazil,74.5,70.1,6.2,7.0277
CHE,Switzerland,83.3,79.9,11.3991,9.3385
CHE,Switzerland,83.3,79.9,11.3991,9.3385
CHL,Chile,79,76.8,7.6547,6.3955
CHN,China,75.8,71.8,5.553,4.5969
COL,Colombia,74.1,71.1,7.2013,5.9066
CRI,Costa Rica,79.5,77.5,9.3035,6.9444
CZE,Czech Republic ,78.9,75.1,7.652,5.7339
DEU,Germany,81.2,78.2,11.0342,9.8104
DNK,Denmark,80.8,76.9,10.5597,8.1044
ESP,Spain,83.3,79.4,9.0797,6.8161
EST,Estonia ,77.2,71,6.1283,5.1645
FIN,Finland,81.3,77.7,9.511,6.8633
FRA,France,82.8,79.2,11.1116,9.5411
GBR,United Kingdom,81.4,77.9,9.875,6.263
GRC,Greece,81.5,78.6,8.2856,7.2433
HUN,Hungary,75.9,71.9,7.1691,6.785
IDN,Indonesia,68.9,66.3,2.8469,1.808
IND,India,68,62.7,4.7472,4.2638
IRL,Ireland,81.4,76.6,10.1289,5.9064
ISL,Iceland,82.9,79.7,8.858,9.0303
ISR,Israel,82.2,78.8,7.5583,6.7992
ITA,Italy,83.2,79.9,9.0539,7.5804
JPN,Japan,83.7,81.2,11.3672,7.3872
KOR,South Korea,82.2,75.9,7.0713,4.0042
LTU,Lithuania ,74.7,72.1,6.2156,6.4366
LUX,Luxembourg,82.3,78,6.3214,5.8705
MEX,Mexico,74.8,73.3,5.6895,4.8564
NLD,Netherlands,81.8,78.2,10.9352,7.0564
NOR,Norway,82.2,78.8,9.2554,7.7091
NZL,New Zealand,81.6,78.4,9.3798,7.47
POL,Poland,77.7,73.8,6.432,5.2982
PRT,Portugal,81.2,76.9,8.9842,8.3748
RUS,Russia,70.9,65.5,5.8612,5.4275
SVK,Slovakia ,76.9,73.4,6.9565,5.3126
SVN,Slovenia ,81.2,76.1,8.5483,8.1171
SWE,Sweden,82.3,79.7,11.1819,7.4124
TUR,Turkey,78,71.1,5.0864,4.7332
USA,United States,78.8,76.7,16.5865,12.5075
ZAF,South Africa,57.2,55.9,8.797,8.0685
CAN,Canada,83.6,79,9.9762,8.2757
